,long,lat,prob,target
3606,126.9504414,37.49732512,1,TRUE
3653,126.8844628,37.49435615,1,TRUE
3655,126.8563315,37.49266023,1,TRUE
3656,126.9733831,37.4877494,1,TRUE
3675,126.8242343,37.4873045,1,TRUE
3676,126.844365,37.50491677,1,TRUE
3682,126.8657986,37.49761248,1,TRUE
3695,126.8898534,37.47967127,1,TRUE
3700,126.8886217,37.48081259,1,TRUE
3703,126.8879073,37.49582991,1,TRUE
3704,126.836395,37.555374,1,TRUE
