"명칭","좌표주소","위도","경도","상세주소","상세내용"
"스쿨존 CCTV","대한민국 서울특별시 금천구 시흥대로146길 19","37.4740055","126.89985100000001","시흥대로146길 19","관리번호: S107"
"스쿨존 CCTV","대한민국 서울특별시 금천구 독산로78다길 89","37.4717252","126.90832599999999","독산로78다길 89","관리번호: S108"
"스쿨존 CCTV","대한민국 서울특별시 금천구 독산로78다길 89","37.4717252","126.90832599999999","독산로78다길 89","관리번호: S109"
"스쿨존 CCTV","대한민국 서울특별시 금천구 시흥대로47길","37.4493334","126.90021630000001","시흥대로47길 43-1 문백초교 정문","관리번호: S110"
"스쿨존 CCTV","대한민국 서울특별시 금천구 독산로23길 26","37.4546436","126.90495750000002","독산로23길 26","관리번호: S111"
"스쿨존 CCTV","대한민국 서울특별시 금천구 탑골로3길 50","37.4533858","126.91405510000004","탑골로3길 50","관리번호: S112"
"스쿨존 CCTV","대한민국 서울특별시 금천구 금하로30길 51","37.4482719","126.9164515","금하로30길 51","관리번호: S113"
"스쿨존 CCTV","대한민국 서울특별시 금천구 시흥대로24길 57","37.4418157","126.90830299999993","시흥대로24길 57","관리번호: S114"
"스쿨존 CCTV","대한민국 서울특별시 금천구 독산로36길 74-9","37.4602724","126.90837050000004","독산로36길 74-9","관리번호: S115"
"스쿨존 CCTV","대한민국 서울특별시 금천구 독산로50다길 84","37.4600314","126.90841799999998","독산로50다길 84","관리번호: S116"
"스쿨존 CCTV","대한민국 서울특별시 금천구 독산로44다길 23","37.4620543","126.90628279999998","독산로44다길 23","관리번호: S117"
"스쿨존 CCTV","대한민국 서울특별시 금천구 독산로50길 60","37.462335","126.90740000000005","독산로50길 60 흥일초교","관리번호: S118"
"스쿨존 CCTV","대한민국 서울특별시 금천구 탑골로5길 53","37.4540189","126.91215499999998","탑골로5길 53","관리번호: S119"
"스쿨존 CCTV","대한민국 서울특별시 금천구 시흥대로40가길","37.4468638","126.9059436","시흥대로40가길 14 백산초교 골목길","관리번호: S120"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 남부순환로112길 55","37.4769966","126.89305530000001","남부순환로112길 55","관리번호: T101"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 벚꽃로46길 5","37.482905","126.88274000000001","벚꽃로46길 5","관리번호: T102"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 시흥대로101길 14-8","37.4643641","126.89644509999994","시흥대로101길 14-8","관리번호: T103"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 시흥대로149길 43","37.4750849","126.89558999999997","시흥대로149길 43","관리번호: T104"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 독산로53길 23","37.4638132","126.90221029999998","독산로53길 23","관리번호: T105"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 시흥대로84나길 5","37.4604975","126.90173770000001","시흥대로84나길 5","관리번호: T106"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 독산로99길 35","37.4750744","126.90133000000003","독산로99길 35","관리번호: T107"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 독산로87길 46","37.4744365","126.90269369999998","독산로 87길 46","관리번호: T108"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 시흥대로126길 20","37.4697069","126.8999751","시흥대로126길 20","관리번호: T109"
